"行人活動聚集區域109-112年6月事故排行",,,,,,
"排行",縣市,"鄉鎮市區",路口名稱,件數,"死亡人數","受傷人數"
1,桃園市,桃園區,南平路、永安北路,4,0,4
2,高雄市,左營區,榮總路、榮佑路,4,0,4
3,新北市,中和區,中正路、南山路,4,0,4
4,新北市,板橋區,萬板路、莊敬路,4,0,4
5,新北市,新莊區,新泰路、復興路,4,0,4
6,臺北市,內湖區,成功路三段、星雲街,4,0,4
7,臺北市,內湖區,港墘路、港華街,4,0,4
8,新北市,新店區,北新路二段、寶橋路,4,0,4
9,桃園市,八德區,和平路、和義一街,4,0,4
10,桃園市,大溪區,康莊路、復興路,4,0,4
11,桃園市,平鎮區,延平路一段、新榮路,4,0,4
12,桃園市,桃園區,春日路、成功路二段,4,0,4
13,新北市,三重區,三陽路、名源街,4,0,4
14,新北市,汐止區,大同路三段、長安路,4,0,4
15,新北市,汐止區,新台五路一段、秀峰路,4,0,4
16,臺北市,中正區,忠孝東路二段、臨沂街,4,0,4
17,臺北市,信義區,松智路、松平路,4,0,4
18,桃園市,桃園區,大林路、延平路,4,0,4
19,桃園市,龜山區,文青路、文學路,4,0,4
20,新北市,中和區,中山路二段、員山路,4,0,4
21,新北市,汐止區,新台五路一段、仁愛路,4,0,4
22,新北市,板橋區,信義路150巷、信義路,4,0,4
23,臺北市,大同區,承德路二段、錦西街,4,0,4
24,臺北市,中山區,長春路、伊通街,4,0,4
25,臺北市,中正區,中山北路一段、北平東路,4,0,4
26,新北市,樹林區,樹新路、保順街,4,0,4
27,桃園市,龜山區,中和南路、新樂街,4,0,4
28,新北市,板橋區,民生路一段、長安街,4,0,4
29,新北市,新店區,民族路、建國路,4,0,4
30,臺北市,中山區,中山北路三段、農安街,4,0,4
31,臺北市,中正區,金山南路一段、濟南路二段,4,0,4
32,臺北市,中正區,羅斯福路一段、寧波東街,4,0,4
33,臺北市,信義區,永吉路、松山路,4,0,4
34,臺北市,萬華區,西寧南路、洛陽街,4,0,4
35,高雄市,三民區,九如一路、永年街,4,0,4
36,新北市,三重區,自強路四段、仁愛街,4,0,4
37,新北市,泰山區,明志路三段、工專路,4,0,4
38,新北市,淡水區,新市一路三段101巷、新市一路三段,4,0,4
39,臺北市,中正區,仁愛路一段、林森南路,4,0,4
40,新北市,板橋區,金門街、溪城路,4,0,4
41,臺北市,大安區,信義路四段、安和路一段,4,0,4
42,新北市,板橋區,國光路、公館街,4,0,4
43,臺中市,西屯區,文心路三段、四川路,4,0,4
44,桃園市,八德區,中山路、中山路1496巷,4,0,4
45,桃園市,桃園區,中山路、民生路,4,0,4
46,桃園市,蘆竹區,中山路、仁愛路二段,4,0,4
47,高雄市,左營區,自由二路、裕誠路,4,0,4
48,新北市,汐止區,龍安路28巷、連興街,4,0,4
49,臺中市,清水區,中山路、文化路,4,0,4
50,臺北市,大安區,復興南路二段、瑞安街23巷,4,0,4
51,新北市,泰山區,明志路一段、美寧街,4,0,4
52,高雄市,新興區,中正三路、復興一路,4,0,4
53,新北市,三重區,環河南路、重安街,4,0,4
54,新北市,三峽區,學成路、大學路,4,0,4
55,新北市,新店區,中興路一段、檳榔路,4,0,4
56,新北市,新莊區,中原路、思源路,4,0,4
57,臺北市,中山區,松江路、德惠街,4,0,4
58,臺北市,中山區,新生北路三段、濱江街,4,0,4
59,臺北市,文山區,木柵路一段、木柵路一段191巷,4,0,4
60,桃園市,八德區,介壽路二段、和平路,4,0,4
61,桃園市,桃園區,三民路二段、中央街,4,0,4
62,新北市,三重區,自強路五段、五華街,4,0,4
63,新北市,三重區,重新路五段、中興南街,4,0,4
64,新北市,泰山區,明志路、楓江路,4,0,4
65,新北市,新莊區,思源路、中原東路,4,0,4
66,臺中市,清水區,中華路、五權路,4,0,4
67,臺北市,中正區,和平西路一段、南昌路二段,4,0,4
68,臺中市,西屯區,西屯路三段、玉門路,4,0,4
69,新北市,三重區,正義北路、大榮街,3,1,3
70,臺北市,文山區,景隆街、景隆街36巷,3,1,3
71,新北市,中和區,錦和路、圓通路,3,1,3
72,桃園市,楊梅區,楊新路、大成路,3,1,3
73,臺中市,東勢區,東關路七段、正二街,3,1,3
74,臺中市,西屯區,西屯路二段、河南路二段,3,1,3
75,新北市,土城區,中央路三段、永寧路,3,1,3
76,高雄市,三民區,十全一路、自由一路,3,1,3
77,臺北市,大同區,延平北路四段、民族西路,3,1,3
78,臺北市,信義區,永吉路、永吉路326巷,3,1,3
79,新北市,土城區,金城路二段、裕民路,3,1,3
80,臺中市,北區,學士路、英才路,2,2,2
81,臺中市,潭子區,潭興路二段、復興路二段,3,0,5
82,臺北市,大安區,仁愛路四段、安和路一段,3,0,5
83,臺北市,文山區,興隆路二段、興隆路二段220巷,3,0,5
84,臺中市,西區,臺灣大道二段、中興街,3,0,5
85,臺中市,南區,高工路、南和路,3,0,5
86,臺中市,龍井區,臺灣大道五段、遊園北路,3,0,5
87,新北市,汐止區,汐萬路一段、中正路,3,0,5
88,桃園市,八德區,介壽路一段、和平路,3,0,5
89,桃園市,龜山區,自強南路、明德路54巷,3,0,5
90,桃園市,桃園區,介壽路、南豐三街,3,0,5
91,新北市,蘆洲區,中正路、民族路,3,0,5
92,新北市,永和區,中正路、民有街,3,0,5
93,臺北市,中山區,五常街、民族東路410巷,3,0,5
94,新北市,淡水區,英專路、清水街,3,0,5
95,臺北市,中正區,中山南路、青島東路,3,0,5
96,臺北市,中正區,博愛路、武昌街一段,3,0,5
97,高雄市,新興區,五福二路、復興二路,3,0,5
98,臺北市,中山區,民權東路二段、松江路,3,0,5
99,臺北市,大安區,辛亥路三段、辛亥路三段157巷,3,0,5
100,新北市,泰山區,明志路、民生路,3,0,5
101,新北市,三重區,三和路二段、長壽街,3,0,5
102,臺北市,松山區,市民大道六段、松山路,3,0,5
103,臺北市,中正區,忠孝東路一段、紹興南街,3,0,5
104,臺中市,太平區,中山路三段、富宜路,3,0,5
105,臺中市,豐原區,三豐路一段、圓環北路一段,3,0,5
106,新北市,中和區,景平路、景新街,3,0,5
107,高雄市,鳳山區,八德路、文衡路,3,0,5
108,高雄市,苓雅區,四維三路、林森二路,3,0,5
109,新北市,中和區,景新街、興南路,3,0,5
110,新北市,永和區,竹林路39巷、竹林路,3,0,5
111,桃園市,桃園區,永安路、富國路,3,0,5
112,桃園市,桃園區,同德五街、藝文一街,3,0,5
113,臺北市,萬華區,康定路、桂林路,3,0,5
114,臺北市,大同區,重慶北路三段、民權西路,3,0,5
115,臺北市,中正區,三元街、南海路,3,0,5
116,臺中市,中區,光復路、市府路,3,0,5
117,臺北市,大安區,信義路四段、安和路二段,3,0,5
118,臺中市,南屯區,大墩路、大業路,3,0,5
119,臺中市,西屯區,臺灣大道四段、福安路,3,0,5
120,新北市,蘆洲區,永樂街38巷、永樂街,3,0,5
121,新北市,板橋區,中正路、大仁街,3,0,5
122,新北市,板橋區,中山路一段、新站路,3,0,5
123,新北市,中和區,中和路、南山路,3,0,5
124,新北市,中和區,安平路、安和路,3,0,5
125,高雄市,鼓山區,明誠三路、裕誠路,3,0,5
126,新北市,三重區,正義北路、龍門路,3,0,5
127,臺北市,大安區,和平東路三段、富陽街,3,0,5
128,臺北市,大同區,承德路三段、庫倫街,3,0,5
129,臺北市,北投區,立農街二段、義理街,3,0,5
130,臺北市,中山區,長安東路二段、伊通街,3,0,5
131,臺中市,烏日區,中山路一段、信義街,3,0,5
132,臺北市,內湖區,基湖路10巷、堤頂大道二段407巷,3,0,5
133,新北市,汐止區,新台五路一段、新興路,3,0,5
134,新北市,三重區,重陽路四段、大智街,3,1,2
135,臺北市,中正區,忠孝西路一段、公園路,3,1,2
136,新北市,蘆洲區,長榮路、光榮路,3,1,2
137,臺中市,中區,自由路二段、光復路,3,1,2
138,臺北市,文山區,木柵路三段、保儀路,3,1,2
139,桃園市,中壢區,莊敬路、永強街,3,1,2
140,臺中市,北屯區,崇德路三段、崇德九路,2,0,7
141,臺北市,文山區,興隆路二段、興隆路二段22巷,2,0,7
142,臺中市,大里區,中興路一段272巷、中興路一段,2,2,1
143,臺北市,中正區,桃源街、寶慶路,3,0,4
144,臺北市,中正區,延平南路、愛國西路,3,0,4
145,臺中市,太平區,東平路、東村路,3,0,4
146,臺北市,中山區,長安東路一段、長安東路一段53巷,3,0,4
147,臺南市,北區,成功路、裕民街,3,0,4
148,臺北市,中正區,館前路、信陽街,3,0,4
149,臺北市,萬華區,環河南路二段、廣州街,3,0,4
150,高雄市,鳳山區,文衡路、文化路,3,0,4
151,高雄市,三民區,九如一路、光武路,3,0,4
152,新北市,汐止區,忠孝東路、茄苳路,3,0,4
153,新北市,五股區,水碓一路、自強路,3,0,4
154,新北市,三重區,重陽路四段、三和路三段,3,0,4
155,新北市,三重區,成功路、集成路,3,0,4
156,臺中市,烏日區,中山路一段、中華路,3,0,4
157,臺中市,南屯區,五權西路二段、精誠路,3,0,4
158,臺中市,豐原區,中山路、博愛街,3,0,4
159,臺北市,士林區,延平北路六段、永平街,3,0,4
160,臺中市,豐原區,豐南街、育仁路,3,0,4
161,新北市,新店區,中正路418巷、中正路,3,0,4
162,新北市,板橋區,縣民大道一段、華興街,3,0,4
163,桃園市,楊梅區,環東路、新農街,3,0,4
164,桃園市,龜山區,大同路、自強南路,3,0,4
165,高雄市,鳳山區,鳳林路、杭州街,3,0,4
166,新北市,新莊區,中正路、新興街,3,0,4
167,新北市,板橋區,文聖街、大同街,3,0,4
168,桃園市,龜山區,文化二路、復興二路,3,0,4
169,新北市,三重區,中正南路、電信街,3,0,4
170,臺北市,中山區,林森北路、民族東路,3,0,4
171,臺中市,北屯區,北屯路、松山街,3,0,4
172,臺北市,士林區,忠誠路一段、德行東路,3,0,4
173,臺中市,西屯區,西屯路二段、文華路,3,0,4
174,臺北市,文山區,木柵路一段、辛亥路七段,3,0,4
175,臺北市,北投區,行義路、泉源路,3,0,4
176,臺北市,信義區,和平東路三段、信安街,3,0,4
177,臺北市,大安區,仁愛路三段、復興南路一段,3,0,4
178,臺北市,大同區,昌吉街、昌吉街110巷,3,0,4
179,臺北市,中正區,汀州路二段、重慶南路三段,3,0,4
180,臺北市,中正區,重慶南路一段、忠孝西路一段,3,0,4
181,臺北市,中山區,長春路、龍江路,3,0,4
182,臺北市,大同區,延平北路二段、涼州街,3,0,4
183,臺北市,萬華區,康定路、內江街,3,0,4
184,新北市,汐止區,汐萬路一段、長江街,3,0,4
185,新北市,新莊區,民安路、後港一路,3,0,4
186,高雄市,三民區,大順二路、建興路,3,0,4
187,高雄市,苓雅區,中華四路、興中二路,3,0,4
188,高雄市,鼓山區,明誠三路、華榮路,3,0,4
189,桃園市,八德區,義勇街、忠勇街,3,0,4
190,桃園市,平鎮區,民族路、廣成街,3,0,4
191,桃園市,桃園區,永安路、永康街,3,0,4
192,桃園市,桃園區,中正路、中華路,3,0,4
193,新北市,三重區,中正北路64巷、中正北路,3,0,4
194,臺中市,豐原區,信義街、復興路,3,0,4
195,桃園市,龜山區,文化二路、文二一街,3,0,4
196,新北市,板橋區,漢生東路279巷、漢生東路,3,0,4
197,臺中市,北屯區,文心路四段、綏遠路二段,3,0,4
198,臺中市,南屯區,大業路、河南路四段,3,0,4
199,臺北市,大安區,市民大道四段、光復南路,3,0,4
200,臺北市,大安區,忠孝東路三段、復興南路一段,3,0,4
201,臺北市,中山區,松江路、錦州街,3,0,4
202,臺北市,松山區,八德路三段、延吉街,3,0,4
203,臺北市,萬華區,環河南路二段、長順街,3,0,4
204,桃園市,中壢區,中華路一段、興仁路一段,3,0,4
205,桃園市,桃園區,文中路、正光路,3,0,4
206,桃園市,桃園區,成功路一段、民權路,3,0,4
207,桃園市,中壢區,環北路、福州一街,3,0,4
208,桃園市,楊梅區,中興路、永美路,3,0,4
209,桃園市,八德區,和平路、東勇街,3,0,4
210,新北市,三重區,龍門路、龍濱路,3,0,4
211,新北市,土城區,中正路、和平路,3,0,4
212,桃園市,桃園區,復興路、南華街,3,0,4
213,新北市,板橋區,新海路、長江路,3,0,4
214,新北市,新莊區,中央路、福壽街,3,0,4
215,高雄市,三民區,大豐二路、義德路,3,0,4
216,桃園市,龜山區,萬壽路二段、中興路,3,0,4
217,高雄市,前金區,中華三路、河南二路,3,0,4
218,桃園市,桃園區,大興西路一段、同安街,3,0,4
219,高雄市,三民區,大順二路、大豐二路,3,0,4
220,臺南市,東區,裕文路、裕忠路,3,0,4
221,新北市,蘆洲區,中山二路、和平路,3,0,4
222,臺中市,西區,自由路一段、康樂街,3,0,4
223,新北市,汐止區,中興路、福德一路,3,0,4
224,新北市,中和區,中安街、新興街,3,0,4
225,臺北市,大同區,長安西路、南京西路64巷,3,0,4
226,臺北市,信義區,仁愛路四段、逸仙路,3,0,4
227,臺北市,信義區,松隆路、永吉路,3,0,4
228,臺中市,中區,建國路、成功路,3,0,4
229,臺南市,永康區,中華路、中華路619巷,3,0,4
230,臺中市,北區,學士路、五順街,3,0,4
231,臺北市,內湖區,內湖路一段737巷、內湖路一段737巷51弄,3,0,4
232,臺南市,中西區,海安路二段、民生路二段,3,0,4
233,臺南市,永康區,中華路、中華二路,3,0,4
234,臺北市,松山區,光復北路、光復北路190巷,3,0,4
235,臺北市,信義區,松山路、松隆路,3,0,4
236,臺北市,信義區,福德街、林口街,3,0,4
237,臺北市,南港區,忠孝東路七段、研究院路一段,3,0,4
238,臺北市,萬華區,西園路一段、西園路一段72巷,3,0,4
239,臺北市,萬華區,康定路、武昌街二段,3,0,4
240,新北市,永和區,中正路、永利路,3,0,4
241,新北市,永和區,民權路1巷、民生路,3,0,4
242,新北市,汐止區,忠孝東路、仁愛路,3,0,4
243,新北市,板橋區,中山路一段、館前西路,3,0,4
244,新北市,板橋區,忠孝路、重慶路,3,0,4
245,臺北市,士林區,延平北路六段、社中街,3,0,4
246,臺北市,大安區,信義路四段、復興南路一段,3,0,4
247,臺中市,南屯區,大墩路、大墩十七街,3,0,4
248,新北市,新莊區,龍安路、福營路,3,0,4
249,桃園市,八德區,中山路、興豐路,3,0,4
250,桃園市,平鎮區,環南路三段、德育路二段,3,0,4
251,新北市,中和區,景新街410巷、景新街,3,0,4
252,臺北市,中山區,農安街、雙城街,3,0,4
253,臺北市,內湖區,內湖路一段、基湖路,3,0,4
254,新北市,板橋區,四維路128巷、四維路,3,0,4
255,新北市,中和區,南山路、復興路,3,0,4
256,臺中市,北屯區,進化北路、國校巷,3,0,4
257,臺北市,萬華區,環河南路二段、環河南路二段175巷,3,0,4
258,臺中市,北屯區,太原路三段、三光巷,3,0,4
259,臺南市,安平區,郡平路、健康三街,3,0,4
260,新北市,三峽區,復興路、和平街,3,0,4
261,新北市,三重區,重新路五段、中興北街,3,0,4
262,臺北市,南港區,市民大道七段、玉成街,2,0,6
263,高雄市,左營區,博愛二路、明華一路,2,0,6
264,新北市,永和區,福和路93巷、福和路,2,0,6
265,臺中市,中區,三民路、公園路,2,1,3
266,臺中市,太平區,中平九街、太平十六街,2,1,3
267,臺中市,北區,進化路、興進路,2,1,3
268,臺北市,士林區,德行東路、德行東路46巷,2,1,3
269,高雄市,楠梓區,加昌路、區東路,2,1,3
270,高雄市,大寮區,鳳林三路、進學路,2,1,3
271,高雄市,左營區,左營新路、孔營路,2,1,3
272,新北市,淡水區,中山路、文化路,2,1,3
273,臺北市,中正區,和平西路一段、重慶南路三段,2,1,3
274,高雄市,苓雅區,四維一路、凱旋二路,3,0,3
275,臺北市,士林區,延平北路六段、中正路,3,0,3
276,新北市,板橋區,四川路一段、忠孝路,3,0,3
277,新北市,板橋區,府中路、西門街,3,0,3
278,新北市,淡水區,中山北路一段247巷、中山北路一段,3,0,3
279,桃園市,龍潭區,中正路、新龍路,3,0,3
280,桃園市,桃園區,國際路一段、吉昌街,3,0,3
281,新北市,中和區,中正路、錦和路,3,0,3
282,新北市,中和區,民德路、國光街,3,0,3
283,新北市,三峽區,三樹路、大學路,3,0,3
284,新北市,三峽區,學勤路、大義路,3,0,3
285,新北市,永和區,永貞路、永亨路,3,0,3
286,新北市,永和區,保安路、永平路,3,0,3
287,臺南市,安平區,國平路、建平七街,3,0,3
288,臺北市,萬華區,廣州街、梧州街,3,0,3
289,桃園市,桃園區,大業路一段、民光東路,3,0,3
290,桃園市,八德區,介壽路二段、豐德路,3,0,3
291,桃園市,平鎮區,民族路、忠孝路,3,0,3
292,桃園市,平鎮區,新富五街、新富街70巷,3,0,3
293,高雄市,左營區,文府路、重忠路,3,0,3
294,桃園市,新屋區,中興路、三民路,3,0,3
295,桃園市,龍潭區,大昌路二段、健行路,3,0,3
296,桃園市,桃園區,大興西路一段、新埔六街,3,0,3
297,臺北市,北投區,大興街、清江路,3,0,3
298,臺北市,信義區,松壽路、市府路,3,0,3
299,臺北市,南港區,市民大道七段、向陽路,3,0,3
300,臺北市,萬華區,昆明街、漢口街二段,3,0,3
